HourOfYear,PV_kWh_per_kWp,,
366,0,0,
367,0,0,
368,0,0,
369,0,0,
370,0.018074,7.2296,
371,0.029195,11.678,
372,0.0336,13.44,
373,0.0335875,13.435,
374,0.002838,1.1352,
375,0.00952375,3.8095,
376,0.01407975,5.6319,
377,0,0,
378,0,0,
379,0,0,
380,0,0,
381,0,0,
382,0,0,
383,0,0,
384,0,0,
385,0,0,
386,0,0,
387,0,0,
388,0,0,
389,0,0,
390,0,0,
391,0,0,
392,0,0,
393,0,0,
394,0.02687,10.748,
395,0.0503125,20.125,
396,0.0807975,32.319,
397,0.087885,35.154,
398,0.0833475,33.339,
399,0.061455,24.582,
400,0.038395,15.358,
401,0.00502375,2.0095,
402,0,0,
403,0,0,
404,0,0,
405,0,0,
406,0,0,
407,0,0,
408,0,0,
409,0,0,
410,0,0,
411,0,0,
412,0,0,
413,0,0,
414,0,0,
415,0,0,
416,0,0,
417,0,0,
418,0.09776,39.104,
419,0.153815,61.526,
420,0.2024575,80.983,
421,0.2281,91.24,
422,0.209275,83.71,
423,0.1613175,64.527,
424,0.115875,46.35,
425,0.0081125,3.245,
426,0,0,
427,0,0,
428,0,0,
429,0,0,
430,0,0,
431,0,0,
432,0,0,
433,0,0,
434,0,0,
435,0,0,
436,0,0,
437,0,0,
438,0,0,
439,0,0,
440,0,0,
441,0,0,
442,0.09325,37.3,
443,0.1552075,62.083,
444,0.2032175,81.287,
445,0.22751,91.004,
446,0.2099575,83.983,
447,0.116675,46.67,
448,0.1118225,44.729,
449,0.00926375,3.7055,
450,0,0,
451,0,0,
452,0,0,
453,0,0,
454,0,0,
455,0,0,
456,0,0,
457,0,0,
458,0,0,
459,0,0,
460,0,0,
461,0,0,
462,0,0,
463,0,0,
464,0,0,
465,0,0,
466,0.03223,12.892,
467,0.0675375,27.015,
468,0.091885,36.754,
469,0.0989725,39.589,
470,0.0960725,38.429,
471,0.0860825,34.433,
472,0.0489875,19.595,
473,0.00560975,2.2439,
474,0,0,
475,0,0,
476,0,0,
477,0,0,
478,0,0,
479,0,0,
480,0,0,
481,0,0,
482,0,0,
483,0,0,
484,0,0,
485,0,0,
486,0,0,
487,0,0,
488,0,0,
489,-0.0002605,-0.1042,
490,0.0437325,17.493,
491,0.089875,35.95,
492,0.1329875,53.195,
493,0.15847,63.388,
494,0.1577525,63.101,
495,0.140615,56.246,
496,0.103705,41.482,
497,0.016362,6.5448,
498,0,0,
499,0,0,
500,0,0,
501,0,0,
502,0,0,
503,0,0,
504,0,0,
505,0,0,
506,0,0,
507,0,0,
508,0,0,
509,0,0,
510,0,0,
511,0,0,
512,0,0,
513,0.00223075,0.8923,
514,0.0563975,22.559,
515,0.1514325,60.573,
516,0.1700425,68.017,
517,0.2326725,93.069,
518,0.21509,86.036,
519,0.1659325,66.373,
520,0.1156125,46.245,
521,0.00473975,1.8959,
522,0,0,
523,0,0,
524,0,0,
525,0,0,
526,0,0,
527,0,0,
528,0,0,
529,0,0,
530,0,0,
531,0,0,
532,0,0,
533,0,0,
534,0,0,
535,0,0,
536,0,0,
537,0.00023375,0.0935,
538,0.01577325,6.3093,
539,0.028885,11.554,
540,0.0503925,20.157,
541,0.04521,18.084,
542,0.0348575,13.943,
543,0.0416325,16.653,
544,0.0321975,12.879,
545,0.0129075,5.163,
546,0,0,
547,0,0,
548,0,0,
549,0,0,
550,0,0,
551,0,0,
552,0,0,
553,0,0,
554,0,0,
555,0,0,
556,0,0,
557,0,0,
558,0,0,
559,0,0,
560,0,0,
561,0,0,
562,0.0254275,10.171,
563,0.05024,20.096,
564,0.0537075,21.483,
565,0.07602,30.408,
566,0.033925,13.57,
567,0.048375,19.35,
568,0.0410025,16.401,
569,0.00497975,1.9919,
570,0,0,
571,0,0,
572,0,0,
573,0,0,
574,0,0,
575,0,0,
576,0,0,
577,0,0,
578,0,0,
579,0,0,
580,0,0,
581,0,0,
582,0,0,
583,0,0,
584,0,0,
585,0,0,
586,0.013561,5.4244,
587,0.06809,27.236,
588,0.1677875,67.115,
589,0.211,84.4,
590,0.19066,76.264,
591,0.1617825,64.713,
592,0.118155,47.262,
593,0.0264825,10.593,
594,0,0,
595,0,0,
596,0,0,
597,0,0,
598,0,0,
599,0,0,
600,0,0,
601,0,0,
602,0,0,
603,0,0,
604,0,0,
605,0,0,
606,0,0,
607,0,0,
608,0,0,
609,0,0,
610,0.0258,10.32,
611,0.018578,7.4312,
612,0.039415,15.766,
613,0.02044975,8.1799,
614,0.0427325,17.093,
615,0.0258125,10.325,
616,0.050565,20.226,
617,0.01266975,5.0679,
618,0,0,
619,0,0,
620,0,0,
621,0,0,
622,0,0,
623,0,0,
624,0,0,
625,0,0,
626,0,0,
627,0,0,
628,0,0,
629,0,0,
630,0,0,
631,0,0,
632,0,0,
633,0,0,
634,0.01822175,7.2887,
635,0.0350525,14.021,
636,0.0596875,23.875,
637,0.05721,22.884,
638,0.0791625,31.665,
639,0.060315,24.126,
640,0.033235,13.294,
641,0.01173,4.692,
642,0,0,
643,0,0,
644,0,0,
645,0,0,
646,0,0,
647,0,0,
648,0,0,
649,0,0,
650,0,0,
651,0,0,
652,0,0,
653,0,0,
654,0,0,
655,0,0,
656,0,0,
657,0.0072165,2.8866,
658,0.10785,43.14,
659,0.13667,54.668,
660,0.173325,69.33,
661,0.254175,101.67,
662,0.2389,95.56,
663,0.1859725,74.389,
664,0.1344775,53.791,
665,0.0391025,15.641,
666,0,0,
667,0,0,
668,0,0,
669,0,0,
670,0,0,
671,0,0,
672,0,0,
673,0,0,
674,0,0,
675,0,0,
676,0,0,
677,0,0,
678,0,0,
679,0,0,
680,0,0,
681,0.0089705,3.5882,
682,0.062145,24.858,
683,0.05859,23.436,
684,0.0534775,21.391,
685,0.04231,16.924,
686,0.0764575,30.583,
687,0.0590875,23.635,
688,0.03606,14.424,
689,0.004256,1.7024,
690,0,0,
691,0,0,
692,0,0,
693,0,0,
694,0,0,
695,0,0,
696,0,0,
697,0,0,
698,0,0,
699,0,0,
700,0,0,
701,0,0,
702,0,0,
703,0,0,
704,0,0,
705,0,0,
706,0.02410325,9.6413,
707,0.0446775,17.871,
708,0.048205,19.282,
709,0.05169,20.676,
710,0.0594325,23.773,
711,0.0346275,13.851,
712,0.0259725,10.389,
713,0.010012,4.0048,
714,0,0,
715,0,0,
716,0,0,
717,0,0,
718,0,0,
719,0,0,
720,0,0,
721,0,0,
722,0,0,
723,0,0,
724,0,0,
725,0,0,
726,0,0,
727,0,0,
728,0,0,
729,0.006442,2.5768,
730,0.02628,10.512,
731,0.0608175,24.327,
732,0.1073125,42.925,
733,0.2139575,85.583,
734,0.1575325,63.013,
735,0.0502825,20.113,
736,0.0225825,9.033,
737,0.00616725,2.4669,
738,0,0,
739,0,0,
740,0,0,
741,0,0,
742,0,0,
743,0,0,
744,0,0,
745,0,0,
746,0,0,
747,0,0,
748,0,0,
749,0,0,
750,0,0,
751,0,0,
752,0,0,
753,0.00995075,3.9803,
754,0.04612,18.448,
755,0.1539125,61.565,
756,0.24837,99.348,
757,0.278075,111.23,
758,0.262525,105.01,
759,0.2087325,83.493,
760,0.1525625,61.025,
761,0.041745,16.698,
762,0,0,
763,0,0,
764,0,0,
765,0,0,
766,0,0,
767,0,0,
768,0,0,
769,0,0,
770,0,0,
771,0,0,
772,0,0,
773,0,0,
774,0,0,
775,0,0,
776,0,0,
777,0.01993475,7.9739,
778,0.1221525,48.861,
779,0.15998,63.992,
780,0.2359125,94.365,
781,0.21749,86.996,
782,0.2226025,89.041,
783,0.198455,79.382,
