HourOfYear,FarmLoad_kWh,,,,
319,25.755,,,,
320,25.63,,,,
321,25.68,,,,
322,33.32,,,,
323,26.985,,,,
324,37.47,,,,
325,27.095,,,,
326,41.31,,,,
327,27.415,,,,
328,35.94,,,,
329,27.58,,,,
330,34.38,,,,
331,26.77,,,,
332,39.125,,,,
333,25.5,,,,
334,25.545,,,,
335,33.6,,,,
336,25.565,,,,
337,32.12,,,,
338,25.695,,,,
339,40.695,,,,
340,25.575,,,,
341,33.515,,,,
342,25.86,,,,
343,25.7,,,,
344,25.74,,,,
345,26.56,,,,
346,32.66,,,,
347,31.655,,,,
348,44.035,,,,
349,29.83,,,,
350,36.625,,,,
351,25.435,,,,
352,31.11,,,,
353,26.45,,,,
354,32.035,,,,
355,23.905,,,,
356,33.665,,,,
357,23.915,,,,
358,23.79,,,,
359,34.54,,,,
360,23.805,,,,
361,34.37,,,,
362,24.165,,,,
363,34.595,,,,
364,23.73,,,,
365,31.285,,,,
366,23.885,,,,
367,24.045,,,,
368,24,,,,
369,23.98,,,,
370,28.93,,,,
371,23.56,,,,
372,29.335,,,,
373,24.195,,,,
374,32.055,,,,
375,25.425,,,,
376,35.665,,,,
377,31.135,,,,
378,36.965,,,,
379,23.99,,,,
380,30.88,,,,
381,24.21,,,,
382,23.85,,,,
383,29.325,,,,
384,23.745,,,,
385,30.37,,,,
386,23.955,,,,
387,31.115,,,,
388,23.69,,,,
389,28.87,,,,
390,23.915,,,,
391,23.925,,,,
392,23.855,,,,
393,23.5,,,,
394,29.795,,,,
395,23.21,,,,
396,35.125,,,,
397,27.505,,,,
398,36.28,,,,
399,25.615,,,,
400,35.925,,,,
401,31.065,,,,
402,33.585,,,,
403,23.705,,,,
404,32.78,,,,
405,23.79,,,,
406,23.855,,,,
407,32.03,,,,
408,23.855,,,,
409,32.54,,,,
410,24.04,,,,
411,32.57,,,,
412,23.745,,,,
413,30.75,,,,
414,24.02,,,,
415,23.995,,,,
416,24,,,,
417,23.99,,,,
418,28.705,,,,
419,20.62,,,,
420,33.04,,,,
421,22.25,,,,
422,31.33,,,,
423,26.135,,,,
424,38.08,,,,
425,29.28,,,,
426,32.185,,,,
427,24.505,,,,
428,34.79,,,,
429,24.455,,,,
430,24.075,,,,
431,32.94,,,,
432,23.565,,,,
433,37.345,,,,
434,23.825,,,,
435,34.38,,,,
436,23.45,,,,
437,32.56,,,,
438,23.76,,,,
439,23.67,,,,
440,23.69,,,,
441,23.72,,,,
442,42.72,,,,
443,36.645,,,,
444,38.34,,,,
445,26.79,,,,
446,35.565,,,,
447,27.61,,,,
448,33.81,,,,
449,25.035,,,,
450,29.905,,,,
451,24.115,,,,
452,33.685,,,,
453,23.265,,,,
454,23.52,,,,
455,32.225,,,,
456,23.235,,,,
457,35.32,,,,
458,23.52,,,,
459,36.935,,,,
460,23.405,,,,
461,34.89,,,,
462,23.53,,,,
463,23.555,,,,
464,23.565,,,,
465,24.695,,,,
466,37.85,,,,
467,26.99,,,,
468,29.7,,,,
469,21.865,,,,
470,44.37,,,,
471,25.63,,,,
472,42.47,,,,
473,30.98,,,,
474,37.335,,,,
475,30.86,,,,
476,45.135,,,,
477,23.58,,,,
478,23.295,,,,
479,30.91,,,,
480,23.425,,,,
